,Room_Type,Hotel_Name,Time_of_Year,Length_of_Stay,Special_Events,Day_of_the_Week,Customer_Ratings,Competitor_Pricing,Historical_Sales_Data,Optimal_Pricing
36,Suite,Holiday Inn,Spring,49.0,Festivals,Wednesday,High,423.12,7828.54,855.8561444362331
37,Suite,Marriott,Summer,54.0,Festivals,Thursday,Medium,420.59,6653.48,889.709118933105
38,Suite,Holiday Inn,Summer,61.0,Sports Events,Thursday,Medium,575.32,6181.94,1093.608046124412
39,Suite,Marriott,Spring,32.0,Conferences,Wednesday,Medium,470.29,1786.65,779.1492812625997
40,Suite,Marriott,Summer,47.0,Sports Events,Saturday,Medium,491.45,5599.08,969.1043797624126
41,Suite,Marriott,Autumn,64.0,Conferences,Friday,Medium,518.39,5838.52,1557.6444076646083
42,Suite,Holiday Inn,Summer,41.0,Parades,Thursday,Medium,613.95,4568.96,1050.196228329253
43,Suite,Marriott,Summer,27.0,Festivals,Friday,Medium,668.53,4930.12,1005.456106438481
44,Suite,Holiday Inn,Summer,38.0,Festivals,Wednesday,Low,460.56,5813.39,1105.8667381774883
45,Double,Holiday Inn,Summer,54.0,Festivals,Thursday,Low,569.3,3680.23,1013.8348982468848
46,Suite,Holiday Inn,Summer,47.0,Festivals,Friday,Medium,592.27,3721.3,-50744.12672182153
47,Double,Holiday Inn,Spring,32.0,Festivals,Thursday,Medium,591.53,5698.1,734.5068908578569
48,Suite,Marriott,Summer,48.0,Festivals,Thursday,Medium,486.37,4773.12,960.7243689808085
49,Suite,Sheraton,Summer,45.0,Conferences,Thursday,Medium,741.83,5107.66,1458.4934579113365
50,Deluxe,Marriott,Winter,48.0,Conferences,Wednesday,Medium,715.07,3963.87,851.7028077290231
51,Single,Holiday Inn,Spring,53.0,Conferences,Wednesday,Medium,579.32,7168.37,849.030958431964
52,Suite,Holiday Inn,Summer,29.0,Conferences,Thursday,Medium,436.77,4418.56,1065.2232414564419
53,Suite,Marriott,Spring,37.0,Conferences,Thursday,Medium,688.05,4938.62,1057.3865318586152
54,Suite,Holiday Inn,Spring,48.0,Conferences,Wednesday,Medium,706.85,4562.48,896.8222792729892
55,Double,Sheraton,Spring,21.0,Festivals,Tuesday,Medium,660.53,6560.3,489.642756304292
56,Suite,Holiday Inn,Spring,47.0,Festivals,Friday,Medium,454.34,4085.6,687.6275684399291
57,Double,Holiday Inn,Spring,44.0,Sports Events,Tuesday,Medium,571.75,5301.48,331.23735301314304
58,Deluxe,Holiday Inn,Summer,37.0,Festivals,Tuesday,High,732.84,4992.79,1208.1089447855106
59,Suite,Holiday Inn,Summer,34.0,Sports Events,Wednesday,Medium,475.83,3432.21,592.4227995677946
60,Double,Holiday Inn,Spring,56.0,Sports Events,Saturday,Low,459.7,5790.1,1016.3673734769956
61,Deluxe,Holiday Inn,Spring,30.0,Festivals,Thursday,Low,748.89,6061.97,1214.848694755071
62,Deluxe,Sheraton,Spring,65.0,Festivals,Friday,Low,464.82,3637.96,1171.7487652901639
63,Double,Holiday Inn,Summer,57.0,Festivals,Saturday,Medium,554.25,5234.44,957.2235885980967
64,Suite,Holiday Inn,Spring,28.0,Sports Events,Thursday,High,777.21,6210.49,599.7128123228828
65,Double,Sheraton,Summer,48.0,Festivals,Wednesday,Medium,624.1,6295.04,1061.2342610268563
66,Suite,Holiday Inn,Spring,34.0,Sports Events,Thursday,High,279.85,4389.04,426.8415779868734
67,Suite,Sheraton,Summer,54.0,Festivals,Tuesday,Medium,651.22,3228.19,1002.8600630761573
68,Suite,Holiday Inn,Summer,46.0,Festivals,Thursday,Medium,625.23,3857.51,1167.062817333601
69,Suite,Sheraton,Winter,40.0,Festivals,Thursday,Medium,365.76,4228.46,379.74796730061576
70,Double,Sheraton,Summer,49.0,Conferences,Tuesday,Medium,391.6,4243.88,980.9347405049951
71,Suite,Marriott,Summer,46.0,Festivals,Friday,Low,751.52,4495.3,1350.0969316104529
72,Suite,Marriott,Winter,64.0,Parades,Wednesday,Medium,403.61,3217.22,622.8168953819215
73,Double,Sheraton,Spring,29.0,Conferences,Thursday,Medium,616.49,4966.58,825.6864833105734
74,Suite,Sheraton,Summer,59.0,Conferences,Wednesday,Medium,661.9,5442.18,1046.6448728994392
75,Suite,Hilton,Summer,40.0,Conferences,Thursday,Medium,586.83,5989.66,1195.363877413533
76,Suite,Holiday Inn,Spring,42.0,Festivals,Thursday,Medium,543.35,4539.44,607.6768746298093
77,Suite,Holiday Inn,Spring,52.0,Festivals,Friday,Medium,598.56,4435.82,1065.9552480399864
78,Double,Sheraton,Spring,56.0,Sports Events,Thursday,Medium,487.07,5133.45,625.0076672609465
79,Suite,Marriott,Spring,60.0,Festivals,Thursday,Medium,800.21,2567.63,876.9952378205418
80,Suite,Sheraton,Spring,60.0,Conferences,Wednesday,Medium,596.72,4771.99,1094.6167637047538
81,Suite,Sheraton,Summer,87.0,Festivals,Thursday,Medium,463.07,5482.07,1079.1649709820185
82,Double,Sheraton,Spring,40.0,Festivals,Thursday,Medium,698.8,5124.04,831.4724574379234
83,Suite,Marriott,Summer,42.0,Festivals,Tuesday,Medium,529.97,4030.16,914.1251970784442
84,Suite,Sheraton,Summer,38.0,Conferences,Tuesday,High,530.25,-7027.02,1025.6154460964408
85,Suite,Marriott,Spring,38.0,Conferences,Wednesday,Medium,328.24,2804.48,470.17830887057556
86,Double,Holiday Inn,Spring,58.0,Conferences,Saturday,High,593.08,4292.42,908.7008544057785
87,Deluxe,Holiday Inn,Spring,64.0,Festivals,Thursday,Medium,359.37,8122.0,1182.0773787044957
88,Suite,Marriott,Summer,54.0,Festivals,Friday,High,713.11,3165.65,1193.5131872917318
89,Suite,Hilton,Summer,52.0,Festivals,Saturday,Medium,569.06,4048.94,1143.046648925049
90,Double,Holiday Inn,Summer,38.0,Sports Events,Thursday,Medium,438.45,4714.4,639.6799360057896
91,Suite,Marriott,Summer,38.0,Sports Events,Thursday,Low,387.78,4843.11,856.1494048786602
92,Suite,Holiday Inn,Summer,30.0,Conferences,Thursday,Medium,593.71,5260.74,1198.9932229031408
93,Double,Holiday Inn,Summer,60.0,Festivals,Friday,High,524.22,4674.32,1035.8130745456638
94,Double,Marriott,Summer,63.0,Festivals,Friday,Medium,451.53,4691.61,1138.7993850592457
95,Suite,Marriott,Spring,65.0,Sports Events,Friday,Medium,570.14,6986.07,960.4539568281429
96,Suite,Holiday Inn,Summer,60.0,Festivals,Thursday,High,547.05,7340.89,1123.4815661798737
97,Suite,Holiday Inn,Summer,51.0,Conferences,Friday,Medium,584.2,6700.23,1251.1781978322426
98,Suite,Holiday Inn,Spring,57.0,Conferences,Thursday,Medium,419.33,3903.02,898.8105171405932
99,Suite,Holiday Inn,Winter,24.0,Sports Events,Thursday,Medium,570.68,5244.53,639.0383144478802
100,Double,Holiday Inn,Summer,47.0,Sports Events,Friday,High,480.69,4020.86,682.5970079325347
101,Double,Sheraton,Spring,47.0,Sports Events,Thursday,Low,384.95,4266.8,592.5756567359364
102,Double,Sheraton,Summer,54.0,Conferences,Thursday,Medium,381.24,4799.05,1038.6198741244143
103,Suite,Holiday Inn,Summer,32.0,Sports Events,Thursday,Medium,763.82,4359.07,930.5639255919598
104,Suite,Holiday Inn,Spring,47.0,Festivals,Friday,High,402.12,4223.73,760.5880345366862
105,Double,Marriott,Summer,28.0,Conferences,Wednesday,Medium,675.1,4110.26,1051.4607815880047
106,Double,Marriott,Spring,43.0,Conferences,Tuesday,Medium,620.73,3207.73,777.0985364857257
107,Double,Holiday Inn,Summer,49.0,Festivals,Wednesday,Medium,602.57,7316.45,1227.1203881473364
108,Deluxe,Marriott,Spring,46.0,Conferences,Thursday,Medium,623.6,5254.78,1211.8814935902506
109,Suite,Holiday Inn,Spring,58.0,Festivals,Wednesday,Medium,521.59,2821.77,951.1167317710627
110,Deluxe,Sheraton,Spring,47.0,Conferences,Thursday,Medium,676.04,4071.73,1229.469574954203
111,Suite,Holiday Inn,Sprin,38.0,Conferences,Saturday,Medium,663.45,4919.13,1146.8058941180168
112,Suite,Holiday Inn,Winter,39.0,Conferences,Thursday,Medium,332.57,4997.49,723.434384982533
113,Deluxe,Marriott,Summer,40.0,Sports Events,Thursday,Low,555.68,4728.82,1038.920653366392
114,Double,Holiday Inn,Spring,58.0,Festivals,Thursday,Medium,630.96,6086.28,772.6949474835799
115,Double,Holiday Inn,Spring,55.0,Sports Events,Wednesday,Medium,643.84,5370.43,639.2724259264851
116,Deluxe,Marriott,Spring,64.0,Festivals,Wednesday,Medium,684.31,4116.56,1276.8248765405622
117,Suite,Holiday Inn,Summer,48.0,Festivals,Friday,Medium,493.01,4985.37,1367.9194614835244
118,Suite,Holiday Inn,Summer,33.0,Festivals,Friday,Medium,581.6,3142.86,1079.3636817712922
119,Deluxe,Holiday Inn,Spring,39.0,Festivals,Friday,Medium,558.33,5328.55,1274.9551297369042
120,Suite,Marriott,Summer,53.0,Festivals,Friday,Medium,532.26,4895.57,1303.953458536802
121,Deluxe,Marriott,Spring,61.0,Parades,Thursday,Medium,265.42,3783.78,1194.0535029235316
122,Deluxe,Holiday Inn,Spring,31.0,Sports Events,Friday,Low,474.64,5437.16,988.8360754797192
123,Suite,Sheraton,Summer,53.0,Conferences,Thursday,Low,344.73,4474.54,1270.2282830623435
124,Suite,Holiday Inn,Summer,41.0,Festivals,Wednesday,Low,457.36,3098.47,1080.360529154367
125,Suite,Holiday Inn,Summer,40.0,Festivals,Wednesday,Medium,473.25,5334.82,811.9744419762645
126,Suite,Holiday Inn,Spring,31.0,Conferences,Thursday,Medium,418.51,4629.42,778.8749615846573
127,Double,Marriott,Autumn,48.0,Festivals,Wednesday,High,440.39,4976.95,1038.0178971151508
128,Single,Holiday Inn,Summer,69.0,Conferences,Thursday,Medium,323.4,4775.78,834.9393882972976
129,Suite,Holiday Inn,Spring,56.0,Festivals,Friday,Medium,552.63,4287.77,877.5144627376983
130,Suite,Sheraton,Summer,47.0,Festivals,Thursday,Medium,673.04,4655.54,1141.1892372799298
131,Deluxe,Sheraton,Spring,59.0,Festivals,Thursday,Medium,574.88,7178.99,1082.3124343232205
132,Suite,Marriott,Summer,42.0,Festivals,Friday,Medium,544.34,4603.24,1092.3321691311976
133,Deluxe,Holiday Inn,Spring,42.0,Festivals,Wednesday,Medium,588.1,5448.84,845.032329134062
134,Double,Holiday Inn,Spring,42.0,Festivals,Thursday,Medium,542.57,6139.3,806.5003847857345
135,Suite,Holiday Inn,Spring,55.0,Conferences,Friday,High,490.05,3065.39,772.4842746088691
136,Suite,Sheraton,Summer,59.0,Festivals,Wednesday,Medium,565.26,5097.1,1131.4414404136157
137,Suite,Holiday Inn,Summer,57.0,Festivals,Saturday,Medium,552.84,5912.4,1360.7507809692274
138,Deluxe,Holiday Inn,Spring,52.0,Festivals,Wednesday,Medium,242.02,6170.77,764.7898585108485
139,Double,Holiday Inn,Spring,67.0,Conferences,Thursday,Medium,449.92,4610.73,609.5569090678428
140,Suite,Holiday Inn,Summer,66.0,Conferences,Friday,Medium,614.52,4330.36,1358.5232649145896
141,Suite,Holiday Inn,Summer,50.0,Festivals,Wednesday,Medium,398.21,6744.33,1247.5000778847339
142,Double,Marriott,Summer,16.0,Conferences,Thursday,Medium,609.35,5663.08,1058.107420605988
143,Double,Holiday Inn,Autumn,42.0,Festivals,Thursday,Low,502.81,5823.36,1131.0549143468252
144,Suite,Holiday Inn,Summer,16.0,Festivals,Thursday,High,538.3,4610.24,1003.3596762508179
145,Double,Sheraton,Summer,68.0,Festivals,Friday,Medium,597.76,5317.3,976.377066888123
146,Deluxe,Holiday Inn,Spring,40.0,Festivals,Friday,Medium,681.96,5930.83,1157.0256497362818
147,Suite,Sheraton,Summer,67.0,Conferences,Friday,Low,270.8,5373.26,1167.492845162038
148,Suite,Holiday Inn,Summer,69.0,Festivals,Friday,Medium,734.14,5024.52,1198.1974221285948
149,Deluxe,Holiday Inn,Autumn,41.0,Festivals,Thursday,Medium,651.32,5444.47,1507.6445779357687
150,Double,Holiday Inn,Spring,22.0,Festivals,Wednesday,Medium,594.26,5300.83,537.021316747503
151,Suite,Holiday Inn,Summer,54.0,Festivals,Wednesday,Low,756.96,5106.77,1333.426380427747
152,Deluxe,Sheraton,Spring,36.0,Festivals,Thursday,Medium,519.27,3781.33,896.6991318767915
153,Deluxe,Holiday Inn,Summer,44.0,Sports Events,Thursday,Medium,527.76,3081.84,1067.5132770958608
154,Deluxe,Sheraton,Summer,18.0,Festivals,Wednesday,Medium,393.05,6365.36,1155.7742538102534
155,Suite,Holiday Inn,Summer,55.0,Sports Events,Friday,Medium,359.53,5636.61,910.2505877590329
156,Double,Holiday Inn,Summer,32.0,Festivals,Friday,Medium,265.16,5008.45,978.7818427674457
157,Deluxe,Holiday Inn,Summer,38.0,Festivals,Friday,Medium,571.28,4979.43,1434.7027520548222
158,Suite,Sheraton,Summer,42.0,Conferences,Wednesday,Medium,432.87,4017.17,990.158889883348
159,Suite,Marriott,Spring,43.0,Festivals,Thursday,Medium,675.71,1967.85,795.2009766229444
160,Double,Holiday Inn,Spring,42.0,Sports Events,Wednesday,Medium,465.86,6258.14,681.525462835629
161,Suite,Sheraton,Autumn,48.0,Conferences,Thursday,Low,700.31,3864.72,1569.6782261077187
162,Double,Holiday Inn,Spring,39.0,Conferences,Friday,Medium,310.34,4774.55,799.6794353126517
163,Suite,Marriott,Summer,45.0,Festivals,Friday,Medium,544.06,3707.51,1017.3794868762948
164,Suite,Holiday Inn,Spring,14.0,Sports Events,Wednesday,Medium,456.79,6178.4,722.0024735040895
165,Double,Holiday Inn,Summer,56.0,Festivals,Friday,Medium,479.95,4308.06,975.8779724071485
166,Suite,Holiday Inn,Spring,47.0,Conferences,Wednesday,Medium,456.76,4876.96,648.2835492887548
167,Suite,Holiday Inn,Spring,25.0,Festivals,Friday,Low,569.17,5266.11,906.0725300283302
168,Double,Holiday Inn,Summer,40.0,Festivals,Tuesday,Medium,424.08,3805.92,712.9823141066776
169,Suite,Sheraton,Summer,67.0,Conferences,Wednesday,Low,635.03,3196.59,1205.4160150564771
170,Double,Holiday Inn,Summer,32.0,Festivals,Wednesday,Medium,520.51,4840.64,815.4154736924596
171,Deluxe,Holiday Inn,Summer,44.0,Festivals,Friday,Medium,636.25,3579.88,1275.8466196116083
172,Suite,Sheraton,Summer,38.0,Conferences,Sunday,Medium,465.19,5718.43,1375.6696718129535
173,Suite,Holiday Inn,Summer,50.0,Conferences,Thursday,Medium,238.71,5479.52,1048.6903464956383
174,Suite,Holiday Inn,Summer,45.0,Festivals,Friday,Medium,558.31,3145.51,1223.6332157529648
175,Deluxe,Holiday Inn,Summer,42.0,Festivals,Friday,Medium,713.73,4033.06,1113.0776881037045
176,Suite,Marriott,Summer,56.0,Festivals,Friday,Medium,476.11,5180.68,1156.9052152644206
177,Suite,Holiday Inn,Summer,61.0,Sports Events,Thursday,Low,444.36,4315.25,1006.2378699652305
178,Double,Holiday Inn,Summer,45.0,Festivals,Thursday,Medium,302.78,4343.04,725.3291161884463
179,Double,Holiday Inn,Summer,36.0,Festivals,Thursday,Medium,360.74,5591.02,651.0040129764212
180,Suite,Marriott,Spring,57.0,Sports Events,Thursday,Medium,672.63,6008.45,769.2320748059847
181,Suite,Holiday Inn,Summer,45.0,Festivals,Thursday,Medium,326.15,5428.3,1083.5314796452478
182,Double,Holiday Inn,Summer,41.0,Conferences,Wednesday,Medium,387.16,4256.46,1127.778933728731
183,Deluxe,Marriott,Spring,39.0,Conferences,Thursday,Medium,657.48,6281.25,1242.0975680726328
184,Deluxe,Holiday Inn,Summer,42.0,Conferences,Thursday,High,630.49,3381.97,1239.262326739564
185,Suite,Holiday Inn,Spring,38.0,Parades,Thursday,Medium,669.7,4534.85,1127.8584210829833
186,Suite,Sheraton,Spring,37.0,Festivals,Wednesday,Medium,355.53,4430.98,650.1278211168307
187,Double,Sheraton,Summer,56.0,Festivals,Thursday,Medium,759.24,4074.39,1037.9103700145433
188,Suite,Holiday Inn,Summer,41.0,Conferences,Friday,Medium,486.55,5638.36,1215.880303244865
189,Double,Holiday Inn,Spring,47.0,Sports Events,Friday,Medium,448.43,5831.15,808.1338383027531
190,Suite,Sheraton,Spring,53.0,Conferences,Wednesday,Medium,518.45,4783.71,842.8262183096068
191,Double,Sheraton,Winter,48.0,Festivals,Thursday,Medium,746.31,4747.25,309.9283530534516
192,Double,Sheraton,Spring,57.0,Conferences,Wednesday,Medium,479.93,4655.07,974.4378609154127
193,Suite,Holiday Inn,Spring,35.0,Festivals,Wednesday,High,442.6,4089.18,579.2855301144273
194,Double,Marriott,Spring,40.0,Festivals,Thursday,Medium,475.04,5159.04,628.0006256481212
195,Suite,Marriott,Summer,57.0,Festivals,Thursday,Medium,518.99,4798.3,1230.182844010698
196,Suite,Holiday Inn,Spring,45.0,Conferences,Thursday,Medium,620.66,5335.56,1174.4609604319824
197,Suite,Sheraton,Spring,47.0,Festivals,Wednesday,Low,506.62,6984.32,875.6840166224129
198,Suite,Holiday Inn,Spring,28.0,Festivals,Tuesday,Medium,630.46,4574.27,401.26770615022315
199,Double,Holiday Inn,Spring,26.0,Festivals,Friday,Medium,607.64,3942.64,817.4910972767103
200,Suite,Sheraton,Spring,41.0,Conferences,Tuesday,Medium,629.58,6899.92,1109.7099367462647
201,Suite,Marriott,Winter,33.0,Festivals,Tuesday,High,653.45,4165.67,449.5248872551164
202,Suite,Holiday Inn,Summer,67.0,Conferences,Saturday,Low,700.98,5995.7,1662.8991209609746
203,Suite,Sheraton,Summer,71.0,Conferences,Friday,Medium,577.83,5116.04,1299.6863196825957
204,Suite,Marriott,Summer,45.0,Festivals,Thursday,Medium,289.83,3801.1,939.3717022723501
205,Deluxe,Holiday Inn,Spring,51.0,Sports Events,Thursday,Low,377.43,4711.01,786.2345740146551
206,Double,Holiday Inn,Spring,36.0,Festivals,Thursday,Medium,601.24,3626.64,931.6178834411894
207,Suite,Holiday Inn,Summer,47.0,Conferences,Friday,Medium,464.74,6237.2,1265.5833550765612
208,Double,Marriott,Summer,26.0,Conferences,Tuesday,Medium,704.48,4997.56,873.6636940196462
209,Suite,Marriott,Spring,48.0,Festivals,Wednesday,Medium,650.29,5038.8,790.5193431153784
210,Suite,Holiday Inn,Summer,61.0,Sports Events,Tuesday,Medium,564.65,5417.11,816.7276516119912
211,Suite,Holiday Inn,Spring,56.0,Festivals,Wednesday,Medium,614.03,5910.95,981.7022772264648
212,Double,Marriott,Spring,47.0,Festivals,Wednesday,Medium,638.79,7299.47,765.0751964799438
213,Double,Marriott,Summer,38.0,Festivals,Thursday,Medium,650.97,4115.16,1049.1966000902332
214,Deluxe,Holiday Inn,Spring,52.0,Sports Events,Thursday,Medium,382.15,5537.17,942.6752900771843
215,Suite,Holiday Inn,Summer,46.0,Festivals,Saturday,Medium,614.68,7760.12,1320.4889634189935
216,Double,Holiday Inn,Summer,55.0,Parades,Thursday,Medium,679.47,4211.03,993.5525280973463
217,Suite,Holiday Inn,Summer,60.0,Festivals,Tuesday,Medium,452.7,6258.79,991.0073398115298
218,Double,Sheraton,Summer,35.0,Sports Events,Thursday,Medium,476.82,5305.02,652.5968773705057
219,Double,Holiday Inn,Winter,32.0,Festivals,Thursday,Medium,455.11,6186.22,547.7805651680444
220,Single,Holiday Inn,Spring,47.0,Festivals,Wednesday,High,400.19,6246.4,515.4543487425664
221,Deluxe,Holiday Inn,Summer,73.0,Conferences,Wednesday,Medium,373.12,6469.47,1519.9925731201654
222,Suite,Holiday Inn,Spring,44.0,Festivals,Thursday,High,797.46,4128.37,937.6634751107662
223,Suite,Holiday Inn,Summer,32.0,Sports Events,Thursday,Medium,647.91,4006.86,757.3707367893502
224,Deluxe,Holiday Inn,Summer,53.0,Conferences,Thursday,Low,477.76,6278.32,1333.1940087460264
225,Double,Sheraton,Summer,54.0,Festivals,Friday,Low,357.59,3351.98,845.0647709441658
226,Suite,Holiday Inn,Summer,60.0,Conferences,Friday,High,444.31,4864.96,1459.9437183209523
227,Suite,Marriott,Spring,22.0,Conferences,Tuesday,Medium,511.09,5201.46,791.0847268786363
228,Suite,Marriott,Summer,46.0,Festivals,Thursday,High,520.64,4623.66,812.5627367347198
229,Suite,Holiday Inn,Summer,41.0,Festivals,Friday,Medium,432.37,4550.07,1108.6046415373446
230,Deluxe,Holiday Inn,Summer,58.0,Sports Events,Thursday,Low,546.73,5192.49,1103.611323444339
231,Suite,Holiday Inn,Summer,51.0,Conferences,Tuesday,Medium,563.57,3878.71,978.9930367553179
232,Deluxe,Marriott,Spring,30.0,Festivals,Friday,Medium,398.19,5504.02,1133.8447775763561
233,Suite,Marriott,Spring,33.0,Festivals,Friday,Medium,414.18,8742.08,936.3956713352176
234,Suite,Holiday Inn,Spring,52.0,Conferences,Tuesday,Medium,436.3,4668.22,807.1100356933414
235,Suite,Holiday Inn,Spring,44.0,Conferences,Tuesday,Low,659.2,5090.47,817.4357069563046
236,Suite,Sheraton,Summer,47.0,Conferences,Friday,Medium,583.85,5599.63,1201.2818923881446
237,Suite,Holiday Inn,Spring,39.0,Festivals,Wednesday,High,382.01,5066.91,672.2626985059405
238,Double,Holiday Inn,Summer,45.0,Conferences,Thursday,Medium,407.71,6446.18,1165.8016279679878
239,Double,Sheraton,Spring,48.0,Festivals,Saturday,Medium,474.21,6370.33,1014.0388924277362
240,Suite,Holiday Inn,Spring,40.0,Conferences,Friday,Low,567.27,4551.74,1189.7782896982812
241,Double,Holiday Inn,Summer,59.0,Conferences,Friday,Medium,493.44,3644.54,1028.3314799878794
242,Suite,Sheraton,Summer,35.0,Conferences,Thursday,Low,488.94,7006.01,1240.3856077577398
243,Suite,Holiday Inn,Spring,37.0,Conferences,Wednesday,Medium,602.02,5105.86,830.231547381429
244,Deluxe,Holiday Inn,Spring,32.0,Festivals,Friday,Low,385.05,4060.89,1143.2941967060142
245,Double,Sheraton,Spring,57.0,Festivals,Wednesday,Medium,444.51,5994.38,775.4333961768572
246,Suite,Marriott,Summer,47.0,Festivals,Monday,Medium,385.54,6079.25,737.910035382527
247,Double,Sheraton,Summer,60.0,Conferences,Thursday,Medium,571.04,6491.77,1169.632569978867
248,Suite,Holiday Inn,Autumn,48.0,Parades,Wednesday,High,739.54,6642.47,1514.2420838807584
249,Suite,Sheraton,Spring,44.0,Festivals,Wednesday,Medium,719.55,6707.63,757.2480388518024
250,Deluxe,Marriott,Spring,34.0,Festivals,Thursday,Medium,389.5,4419.74,915.111297386835
251,Double,Holiday Inn,Summer,45.0,Festivals,Friday,Medium,344.51,5450.54,967.6295239823614
252,Suite,Marriott,Summer,54.0,Festivals,Thursday,Medium,420.59,6653.48,889.709118933105
253,Double,Marriott,Summer,36.0,Festivals,Friday,Medium,594.64,4827.0,868.1315902530943
254,Deluxe,Holiday Inn,Spring,61.0,Conferences,Wednesday,Medium,488.11,7519.72,1214.0065329824058
255,Double,Sheraton,Summer,53.0,Festivals,Thursday,Medium,763.41,5664.18,999.5923023066102
256,Suite,Marriott,Spring,59.0,Conferences,Friday,Medium,259.07,5092.99,1018.4534248868665
257,Suite,Holiday Inn,Spring,34.0,Sports Events,Thursday,High,279.85,4389.04,426.8415779868734
258,Deluxe,Sheraton,Summer,35.0,Conferences,Thursday,Medium,417.11,5367.53,1418.7743966769178
259,Deluxe,Sheraton,Summer,43.0,Sports Events,Wednesday,Medium,494.61,5963.31,963.3049188016821
260,Suite,Holiday Inn,Spring,36.0,Festivals,Thursday,Medium,426.94,3670.01,795.8602906928395
261,Double,Sheraton,Summer,43.0,Festivals,Wednesday,Low,747.55,7908.64,1055.9919199751298
262,Deluxe,Holiday Inn,Spring,53.0,Conferences,Friday,High,244.94,5879.52,1017.6532010827594
263,Double,Holiday Inn,Summer,49.0,Sports Events,Friday,Medium,639.42,5042.72,958.8030194992166
264,Suite,Holiday Inn,Spring,56.0,Conferences,Thursday,Medium,-542.47,5581.01,1089.1767171974882
